path_of_first_file_commit,keyword_index,matched_keyword,code_granularity,start_end_line,test_code,regular_expression
flipperzero-mayhem\1807690053125257226fd5596d049493516f878e\esp32cam_marauder\MorseFlasher.ino,1,created by chatgpt,no code,,,
NemesOnline\b7ba6d1e9741d44f498ad87899e8465b432269e0\230506\3_3.cpp,2,created by chatgpt,file,"[1,61]",,
TRGB-BikeComputer\fcc757aebf7238353d7cde34a07cf7e8ec142346\src\Stats\Distance.cpp,8,created by chatgpt,no code,,,
RoboMasterUIDesigner\3f4f7519457097db0bfc448bba5f80c3e4e7c50d\gridedgraphicsview.cpp,14,created by chatgpt,method,"[12,54]",,
pacPlus\e76ae10f56f3892eb53e64f9aec6a74f63f33803\src\gameScreen.h,126,created by chatgpt,method,"[127,169]",,
NOT_Bela_Adafruit_APDS9960\4a4872cc93edda4500580f12847e0fdde7431ba5\Bela_Adafruit_APDS9960.cpp,591,created by chatgpt,method,"[592,606]",,
Arduino-Homework\71c3f3a98f4534f36f7cf19e381c909ce76e4f3a\Sketches\sketch_L2Morese31.ino,36,created by chatgpt,no code,,,
learning\5b9dc5c7470295980853b58c37c55d1350dc4480\trv3wood\assignment\assignment5\C2.cpp,2,created by chatgpt,file,"[1,78]",,
wake_word\d1495aa2811e7aae771cdff2fc4c63e14fc4a8ab\firmware\wake_word\src\utils\response_parser.cpp,4,created by chatgpt,file,"[1,70]",,
Arduino-Homework\a6b4933f34add8d2792349a367d2901691717952\Sketches\sketch_L2Morese35.ino,36,created by chatgpt,no code,,,
learning\5b9dc5c7470295980853b58c37c55d1350dc4480\trv3wood\assignment\assignment5\C3.cpp,2,created by chatgpt,file,"[1,97]",,
Flipper-Phoenix\1655a5b5748a7f35a4c0038b0e241b99c8ea1633\esp32cam_marauder\MorseFlasher.ino,1,created by chatgpt,no code,,,
flipperzero-mayhem\1807690053125257226fd5596d049493516f878e\esp32cam_marauder\MorseFlasher.ino,1,created by chatgpt,no code,,,
NemesOnline\b7ba6d1e9741d44f498ad87899e8465b432269e0\230506\3_3.cpp,2,created by chatgpt,file,"[1,61]",,
TRGB-BikeComputer\fcc757aebf7238353d7cde34a07cf7e8ec142346\src\Stats\Distance.cpp,8,created by chatgpt,no code,,,
RoboMasterUIDesigner\3f4f7519457097db0bfc448bba5f80c3e4e7c50d\gridedgraphicsview.cpp,14,created by chatgpt,method,"[12,54]",,
pacPlus\e76ae10f56f3892eb53e64f9aec6a74f63f33803\src\gameScreen.h,126,created by chatgpt,method,"[127,169]",,
NOT_Bela_Adafruit_APDS9960\4a4872cc93edda4500580f12847e0fdde7431ba5\Bela_Adafruit_APDS9960.cpp,591,created by chatgpt,method,"[592,606]",,
Arduino-Homework\71c3f3a98f4534f36f7cf19e381c909ce76e4f3a\Sketches\sketch_L2Morese31.ino,36,created by chatgpt,no code,,,
learning\5b9dc5c7470295980853b58c37c55d1350dc4480\trv3wood\assignment\assignment5\C2.cpp,2,created by chatgpt,file,"[1,78]",,
wake_word\d1495aa2811e7aae771cdff2fc4c63e14fc4a8ab\firmware\wake_word\src\utils\response_parser.cpp,4,created by chatgpt,file,"[1,70]",,
Arduino-Homework\a6b4933f34add8d2792349a367d2901691717952\Sketches\sketch_L2Morese35.ino,36,created by chatgpt,no code,,,
learning\5b9dc5c7470295980853b58c37c55d1350dc4480\trv3wood\assignment\assignment5\C3.cpp,2,created by chatgpt,file,"[1,97]",,
Flipper-Phoenix\1655a5b5748a7f35a4c0038b0e241b99c8ea1633\esp32cam_marauder\MorseFlasher.ino,1,created by chatgpt,no code,,,
