code_func_type,count,percentage
Algorithm and data structure,50,7.575757575757576
Business logic,10,1.5151515151515151
Concurrency and multithreading,3,0.45454545454545453
Configuration and deployment,54,8.181818181818182
Data processing and transformation,275,41.66666666666667
File operations and I/O operation,37,5.606060606060606
Framework and library,12,1.8181818181818181
Game development,11,1.6666666666666667
Machine learning and deep learning,27,4.090909090909091
Network requests and API call,44,6.666666666666667
Program input code,50,7.575757575757576
Scientific computation and numerical analysis,5,0.7575757575757576
Testing and debugging,40,6.0606060606060606
User interface,42,6.363636363636363
